;Bearbeiter:;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Straubinger;;Straubinger;;Straubinger;;Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;
;Flächengröße;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;;;;;;;;;;;4;;4;;4;;4;;4;;4;;4;;4;
;Innerhalb der Weide;Cover %;Height (cm);Cover %;Height (cm);Cover %;Height (cm);Cover %;Height (cm);Cover %;Height (cm);Cover %;Height (cm);Cover %;Height (cm);Cover %;Height (cm);Cover %;Height (cm);Cover %;Height (cm);Cover %;Height (cm);Cover %;Height (cm);;;Cover %;Height (cm);Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nein;;Nein;;Nein;;Nein;;Nein;
g;Eriophorum angustifolium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
g;Festuca rubra;35;73;17;93;15;86;2;80;7;77;3;75;7;64;10;78;15;62;5;70;2;45;20;83;20;79;15;50;24;76;;;25;53;12;65;;;3;70;12;73;1;54;;;;;1;73;1;52;10;24;10;72;0,5;66;10;78;;;;;10;73;25;77;6;55;8;58;10;61;5;52;10;64;5;75;5;61;5;81;3;65
g;Festuca rubra nicrescens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
g;Glyceria fluitans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
g;Holcus mollis;;;;;;;;;;;;;;;;;;;1;20;5;23;10;54;2;24;12;21;5;59;12;35;8;30;10;27;0,5;44;;;;;0,5;25;;;;;;;;;10;27;18;21;15;55;19;59;;;0,5;16;3;24;0,5;25;;;;;;;;;;;;;;;;;;
g;Juncus articulatus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
g;Juncus bulbosus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
g;Juncus effusus;0,5;47;;;;;0,5;27;5;81;;;;;;;1;26;;;;;;;;;;;;;;;;;;;10;76;20;62;3;70;;;;;;;;;;;;;;;;;;;;;;;;;;;2;50;;;;;;;;;;;;;;;;
g;Juncus filiformis;;;3;46;;;;;;;;;1;22;;;;;;;;;;;;;;;;;;;;;;;;;1;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
g;Juncus tenuis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
g;Luzula campestris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
g;Luzula multiflora;0,3;38;;;;;;;0,3;30;2;16;5;26;0,5;40;;;1;56;0,5;9;;;0,3;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;38;;;;;;;1;26;1;50;0,3;23;;;3;42;0,5;27;;;;;0,5;39;1;54;;;0,5;46
g;Luzula pilosa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;9;;;;;;;;;;;;;;;;;;;;;;;;
g;Luzula sylvatica;;;;;;;20;21;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;32;;;;;;;;;;;;;;;;;;;;;48;15;;;;;;;;;;;;;4;22;;;;;;;;;;;20;49;;
g;Nardus stricta;;;;;;;5;35;;;7;27;20;39;4;40;25;41;30;42;20;30;;;;;;;;;;;0,5;22;;;;;;;;;40;37;;;;;;;;;;;;;;;;;1;39;;;;;;;;;1;11;1;16;;;30;39;1;18;15;30;;;20;29
g;Phleum pratense;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;31;;;;;;;;;;;;
g;Poa humilis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
g;Poa pratensis s.str.;5;43;1;42;1;39;0,5;38;2;33;;;;;;;;;;;;;3;34;0,3;29;0,5;16;1;37;3;34;1;18;1;40;0,5;16;4;25;5;48;;;;;;;;;;;3;26;3;52;;;;;;;;;1;35;1;34;;;;;;;;;;;1;32;1;40;0,3;29;1;43
g;Poa supina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
g;Poa trivialis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
g;Poaceae sp.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
g;Trisetum flavescens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
